#separator:tab
#html:true
#tags:true

Front	Back	Tags
"dashboard"	"<b>音标</b>: /ˈdæʃbɔːrd/<br><b>中文</b>: 仪表板<br><b>词性</b>: n.<br><b>定义</b>: 交互式数据显示界面，允许用户探索和分析信息<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: interactive dashboard, create dashboard"	vocabulary technical priority-1
"pipeline"	"<b>音标</b>: /ˈpaɪplaɪn/<br><b>中文</b>: 管道<br><b>词性</b>: n.<br><b>定义</b>: 自动传输和转换数据的系统<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: data pipeline, build pipeline"	vocabulary technical priority-2
"ad hoc"	"<b>音标</b>: /ˌæd ˈhɒk/<br><b>中文</b>: 特别的，临时的<br><b>词性</b>: adj.<br><b>定义</b>: 为特定目的而做，没有事先计划；一次性的<br><b>IELTS评分</b>: LR 7.5+<br><b>例句</b>: Analysts spend time answering ad hoc questions from managers."	vocabulary academic priority-2
"proactive"	"<b>音标</b>: /proʊˈæktɪv/<br><b>中文</b>: 主动的，先发制人的<br><b>词性</b>: adj.<br><b>定义</b>: 采取行动创造变化或为未来情况做准备，而不是被动反应<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: proactive decision-making, stay proactive"	vocabulary business priority-2
"insight"	"<b>音标</b>: /ˈɪnsaɪt/<br><b>中文</b>: 洞察，见解<br><b>词性</b>: n.<br><b>定义</b>: 对某事的深刻理解或认识，尤其是通过数据分析获得的<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: gain insights, provide insights, data insights"	vocabulary business priority-1
"revenue"	"<b>音标</b>: /ˈrevənuː/<br><b>中文</b>: 收入<br><b>词性</b>: n.<br><b>定义</b>: 公司从其业务活动中收到的收入<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: generate revenue, revenue growth"	vocabulary business priority-3
"underperform"	"<b>音标</b>: /ˌʌndərpərˈfɔːrm/<br><b>中文</b>: 表现不佳<br><b>词性</b>: v.<br><b>定义</b>: 表现不如预期或要求；未达到标准<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: underperforming region, underform against expectations"	vocabulary business priority-3
"query"	"<b>音标</b>: /ˈkwɪəri/<br><b>中文</b>: 查询<br><b>词性</b.: v./n.<br><b>定义</b>: 向数据库请求信息<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: query databases, run a query"	vocabulary technical priority-2
"visualize"	"<b>音标</b>: /ˈvɪʒuəlaɪz/<br><b>中文</b>: 可视化<br><b>词性</b>: v.<br><b>定义</b>: 将数据转化为视觉形式如图表或图形<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: visualize data, data visualization"	vocabulary technical priority-2
"architecture"	"<b>音标</b>: /ˈɑːrkɪtektʃər/<br><b>中文</b>: 架构<br><b>词性</b>: n.<br><b>定义</b>: 系统或组织的结构设计<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: system architecture, design architecture"	vocabulary technical priority-2
"extract"	"<b>音标</b>: /ɪkˈstrækt/<br><b>中文</b>: 提取<br><b>词性</b>: v.<br><b>定义</b>: 从来源中获取或取出数据<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: extract data, extract information"	vocabulary technical priority-3
"infrastructure"	"<b>音标</b>: /ˈɪnfrəstrʌktʃər/<br><b>中文</b>: 基础设施<br><b>词性</b>: n.<br><b>定义</b>: 系统运行所需的基本物理和组织结构<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: data infrastructure, build infrastructure"	vocabulary technical priority-3
"pull from"	"<b>中文</b>: 从...提取<br><b>例句</b>: We pull data from multiple sources including databases and APIs.<br><b>IELTS应用</b>: 在描述数据来源时使用<br><b>同义词</b>: extract from, retrieve from"	verb-phrase priority-1
"base on"	"<b>中文</b>: 基于<br><b>例句</b>: Decisions based on data are more reliable than those based on opinions.<br><b>IELTS应用</b>: Task 2 议论文中表达因果关系<br><b>同义词</b>: founded on, grounded in"	verb-phrase priority-1
"lead to"	"<b>中文</b>: 导致，引起<br><b>例句</b>: Poor data quality can lead to confusion and wasted resources.<br><b>IELTS应用</b>: 因果关系表达，Band 7.5+<br><b>同义词</b>: cause, result in, give rise to"	verb-phrase priority-1
"clean up"	"<b>中文</b>: 清理<br><b>例句</b>: Data analysts spend time cleaning up messy data before analysis.<br><b>IELTS应用</b>: 描述处理过程<br><b>同义词</b>: purify, cleanse"	verb-phrase priority-2
"set up"	"<b>中文</b>: 设置，建立<br><b>例句</b>: BI developers set up reporting servers for 24/7 access.<br><b>IELTS应用</b>: 描述系统建立过程<br><b>同义词</b>: establish, configure"	verb-phrase priority-1
"figure out"	"<b>中文</b>: 弄清楚，理解<br><b>例句</b>: Analysts figure out what the data means for the business.<br><b>IELTS应用</b>: 表达认知过程<br><b>同义词</b>: understand, determine"	verb-phrase priority-2
"turn into"	"<b>中文</b>: 转化为<br><b>例句</b>: Data scientists turn raw data into predictive models.<br><b>IELTS应用</b>: 转换过程描述<br><b>同义词</b>: transform into, convert to"	verb-phrase priority-1
"scale up"	"<b>中文</b>: 扩大，扩展<br><b>例句</b>: Companies need to scale up their data systems as they grow.<br><b>IELTS应用</b>: 描述增长和发展<br><b>同义词</b>: expand, grow"	verb-phrase priority-2
"connect to"	"<b>中文</b>: 连接到<br><b>例句</b>: Data pipelines connect to multiple source systems.<br><b>IELTS应用</b>: 系统连接描述<br><b>同义词</b>: link to, attach to"	verb-phrase priority-2
"filter out"	"<b>中文</b>: 筛选掉<br><b>例句</b>: The system filters out incorrect or incomplete data.<br><b>IELTS应用</b>: 数据处理过程<br><b>同义词</b>: remove, exclude"	verb-phrase priority-2
"point out"	"<b>中文</b>: 指出<br><b>例句</b>: Analysts point out important trends in their reports.<br><b>IELTS应用</b>: 强调信息时使用<br><b>同义词</b>: highlight, indicate"	verb-phrase priority-2
"flow into"	"<b>中文</b>: 流入<br><b>例句</b>: Data flows into the Bronze layer from source systems.<br><b>IELTS应用</b>: 数据流动描述<br><b>同义词</b>: stream into, enter"	verb-phrase priority-2
"end up"	"<b>中文</b>: 最终<br><b>例句</b>: Without good data, companies end up making poor decisions.<br><b>IELTS应用</b>: 结果描述<br><b>同义词</b>: result in, conclude"	verb-phrase priority-2
"build out"	"<b>中文</b>: 构建，开发<br><b>例句</b>: Engineers build out data pipelines to automate data flow.<br><b>IELTS应用</b>: 系统开发描述<br><b>同义词</b>: construct, develop"	verb-phrase priority-2
"gather from"	"<b>中文</b>: 从...收集<br><b>例句</b>: We gather data from spreadsheets, databases, and APIs.<br><b>IELTS应用</b>: 数据收集描述<br><b>同义词</b>: collect from"	verb-phrase priority-2
"result in"	"<b>中文</b>: 导致，结果是<br><b>例句</b>: Automated processes result in faster decision-making.<br><b>IELTS应用</b>: 因果关系，Band 8.0<br><b>同义词</b>: cause, lead to"	verb-phrase priority-1
"rely on"	"<b>中文</b>: 依赖<br><b>例句</b>: Decisions based on opinions rely on subjective judgments.<br><b>IELTS应用</b>: 依赖关系表达<br><b>同义词</b>: depend on, count on"	verb-phrase priority-2
"Because of this..."	"<b>中文</b>: 因此<br><b>例句</b>: Because of this, the company wasted valuable time and resources.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 表达因果关系，正式<br><b>替代</b>: Therefore, Thus, As a result"	expression cause-effect priority-1
"However"	"<b>中文</b>: 然而<br><b>例句</b>: However, when data is scattered, analysis becomes difficult.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 标准对比，转折<br><b>替代</b>: Nevertheless, On the other hand"	expression contrast priority-1
"But at some point"	"<b>中文</b>: 但在某个时候<br><b>例句</b>: But at some point, managers need to ask bigger strategic questions.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 时间对比，过渡"	expression contrast priority-2
"If..."	"<b>中文</b>: 如果...<br><b>例句</b>: If your decision process is based on opinions, results may be unreliable.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 条件句<br><b>替代</b>: In the event that, Provided that"	expression condition priority-1
"Once..."	"<b>中文</b>: 一旦...<br><b>例句</b>: Once you are ready, you can present findings to managers.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 时间条件<br><b>替代</b>: As soon as, When"	expression condition priority-2
"Without using..."	"<b>中文</b>: 不使用...<br><b>例句</b>: Without using data, they are just guessing.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 否定条件"	expression condition priority-2
"in order to"	"<b>中文</b>: 为了<br><b>例句</b>: In order to dive into all those places, we need scalable systems.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 正式目的表达<br><b>替代</b>: to, so that, for the purpose of"	expression purpose priority-1
"designed to"	"<b>中文</b>: 设计用于<br><b>例句</b>: The system is designed for quick analyzes and easy access.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 功能性目的描述"	expression purpose priority-2
"It is clear that..."	"<b>中文</b>: 很明显...<br><b>例句</b>: It is clear that data-driven decisions are more reliable.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 表达确定性<br><b>替代</b>: It is evident that, It is apparent that"	expression certainty priority-2
"There is a high chance that..."	"<b>中文</b>: 很有可能...<br><b>例句</b>: There is a high chance that this will lead to confusion.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 表达可能性<br><b>替代</b>: It is likely that, It is probable that"	expression certainty priority-2
"From my perspective"	"<b>中文</b>: 从我的角度看<br><b>例句</b>: From my perspective, data is crucial for business success.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 主观观点表达<br><b>替代</b>: From my point of view, In my view"	expression opinion priority-2
"In terms of"	"<b>中文</b>: 就...而言，在...方面<br><b>例句</b>: In terms of data quality, the Gold layer is the best.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 方面聚焦<br><b>替代</b>: Regarding, Concerning, With regard to"	expression topic priority-1
"At the same time"	"<b>中文</b>: 同时<br><b>例句</b>: At the same time, analysts must understand business needs.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 同时性<br><b>替代</b>: Meanwhile, Simultaneously"	expression time priority-2
"Subsequently"	"<b>中文</b>: 随后<br><b>例句</b>: Subsequently, the data moves to the Silver layer for cleaning.<br><b>IELTS评分</b>: Band 8.0<br><b>用途</b>: 顺序性<br><b>替代</b>: Following this, Afterward"	expression time priority-2
"Eventually"	"<b>中文</b>: 最终<br><b>例句</b>: Eventually, the optimized data reaches the Gold layer.<br><b>IELTS评分</b>: Band 7.0<br><b>用途</b>: 最终结果<br><b>替代</b>: Finally, In the end"	expression time priority-2
"Furthermore"	"<b>中文</b>: 此外<br><b>例句</b>: Furthermore, automation reduces human error in data processing.<br><b>IELTS评分</b>: Band 7.5<br><b>用途</b>: 正式补充<br><b>替代</b>: Moreover, In addition"	expression addition priority-1
"Crucially"	"<b>中文</b>: 关键的是<br><b>例句</b>: Crucially, data must be secure and accessible 24/7.<br><b>IELTS评分</b>: Band 8.0<br><b>用途</b>: 强调重要性<br><b>替代</b>: Most importantly, Significantly"	expression emphasis priority-2
"The video explores..."	"<b>中文</b>: 本视频探讨了...<br><b>例句</b>: The video explores the various roles within a data team.<br><b>IELTS评分</b>: Band 7.0+<br><b>用途</b>: Task 2 引言模式"	expression introduction priority-2
"This essay will examine..."	"<b>中文</b>: 本文将探讨...<br><b>例句</b>: This essay will examine the importance of data-driven decision making.<br><b>IELTS评分</b>: Band 7.0+<br><b>用途</b>: Task 2 论点陈述"	expression thesis priority-2
"In conclusion..."	"<b>中文</b>: 总之...<br><b>例句</b>: In conclusion, data teams are essential for modern business success.<br><b>IELTS评分</b>: Band 7.0+<br><b>用途</b>: Task 2 结论模式<br><b>替代</b>: To sum up, To conclude"	expression conclusion priority-2
"extract data"	"<b>中文</b>: 提取数据<br><b>例句</b>: Analysts manually extract data from spreadsheets before automation.<br><b>IELTS替代</b>: retrieve information<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-2
"query databases"	"<b>中文</b>: 查询数据库<br><b>例句</b>: Data analysts use SQL to query databases efficiently.<br><b>IELTS替代</b>: interrogate databases<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-2
"clean data"	"<b>中文</b>: 清理数据<br><b>例句</b>: Engineers clean and structure data for analysis.<br><b>IELTS替代</b>: purify information<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-1
"build pipelines"	"<b>中文</b>: 构建管道<br><b>例句</b>: Data engineers build pipelines to automate data flow.<br><b>IELTS替代</b>: construct conduits<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-1
"train models"	"<b>中文</b>: 训练模型<br><b>例句</b>: Data scientists train models to predict future trends.<br><b>IELTS替代</b>: educate algorithms<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-1
"deploy models"	"<b>中文</b>: 部署模型<br><b>例句</b>: ML engineers deploy models into production environments.<br><b>IELTS替代</b>: implement systems<br><b>搭配类型</b>: Verb + Noun"	collocation data priority-1
"communicate results"	"<b>中文</b>: 传达结果<br><b>例句</b>: Analysts communicate results to stakeholders effectively.<br><b>IELTS替代</b>: convey outcomes<br><b>搭配类型</b>: Verb + Noun"	collocation business priority-2
"make decisions"	"<b>中文</b>: 做决策<br><b>例句</b>: Managers use data to make smart decisions.<br><b>IELTS替代</b>: reach conclusions<br><b>搭配类型</b>: Verb + Noun"	collocation business priority-1
"gain insight"	"<b>中文</b>: 获得洞察<br><b>例句</b>: Companies gain insight from data analysis.<br><b>IELTS替代</b>: acquire understanding<br><b>搭配类型</b>: Verb + Noun"	collocation business priority-2
"scalable system"	"<b>中文</b>: 可扩展系统<br><b>例句</b>: A scalable system can handle growing data volumes.<br><b>IELTS替代</b>: expandable infrastructure<br><b>搭配类型</b>: Adjective + Noun"	collocation technical priority-2
"automated process"	"<b>中文</b>: 自动化流程<br><b>例句</b>: Automated processes reduce manual work and errors.<br><b>IELTS替代</b>: mechanized operations<br><b>搭配类型</b>: Adjective + Noun"	collocation technical priority-2
"interactive dashboard"	"<b>中文</b>: 交互式仪表板<br><b>例句</b>: Interactive dashboards allow users to explore data.<br><b>IELTS替代</b>: dynamic visual interface<br><b>搭配类型</b>: Adjective + Noun"	collocation technical priority-1
"smart decision"	"<b>中文</b>: 智能决策<br><b>例句</b>: Data-driven companies make smart decisions quickly.<br><b>IELTS替代</b>: intelligent choice<br><b>搭配类型</b>: Adjective + Noun"	collocation business priority-2
"business value"	"<b>中文</b>: 业务价值<br><b>例句</b>: Data teams deliver incredible business value.<br><b>IELTS替代</b>: commercial benefit<br><b>搭配类型</b>: Noun + Noun"	collocation business priority-2
"data pipeline"	"<b>中文</b>: 数据管道<br><b>例句</b>: The data pipeline moves information from sources to users.<br><b>IELTS替代</b>: information conduit<br><b>搭配类型</b>: Noun + Noun"	collocation technical priority-1
"pricing strategy"	"<b>中文</b>: 定价策略<br><b>例句</b>: Data helps companies optimize their pricing strategy.<br><b>IELTS替代</b>: cost approach<br><b>搭配类型</b>: Noun + Noun"	collocation business priority-3
"competitive advantage"	"<b>中文</b>: 竞争优势<br><b>例句</b>: Predictive analytics gives companies a competitive advantage.<br><b>IELTS替代</b>: competitive edge<br><b>搭配类型</b>: Noun + Noun"	collocation business priority-2
"What does a data analyst do?"	"<b>答案</b>: A data analyst uses data to answer business questions. They collect, clean, and analyze data, then present findings to stakeholders. They act as a bridge between raw data and business decisions.<br><b>关键技能</b>: SQL, Excel, data visualization, communication"	key-point role priority-1
"What is the Medalis architecture?"	"<b>答案</b>: The Medalis architecture organizes data into three layers:<br>• <b>Bronze Layer</b>: Raw, unprocessed data<br>• <b>Silver Layer</b>: Cleaned and structured data<br>• <b>Gold Layer</b>: Optimized data ready for analysis<br><b>目的</b>: To organize data by level of processing for efficient management"	key-point architecture priority-1
"Why is automation important in data pipelines?"	"<b>答案</b>: Automation is crucial because:<br>• It saves time by eliminating manual work<br>• It reduces errors in data processing<br>• It ensures consistent data flow<br>• It allows systems to scale without adding staff<br>• It enables faster decision-making"	key-point concept priority-1
"How do data scientists differ from data analysts?"	"<b>答案</b>: The key difference is their focus:<br>• <b>Data Analysts</b>: Analyze historical data to answer current questions<br>• <b>Data Scientists</b>: Build predictive models to answer future questions<br><b>共同点</b>: Both use data to drive business decisions"	key-point comparison priority-1
"What is the famous quote about data and opinions?"	"<b>引用</b>: \"Without data you're just another person with an opinion.\" — William Deming<br><b>含义</b>: This emphasizes that decisions based on facts and evidence (data) are more reliable than those based on personal opinions, which can be biased or incorrect.<br><b>重要性</b>: It's the core philosophy of data-driven decision making"	key-point quote priority-2
"What is the role of ML engineers?"	"<b>答案</b>: ML engineers are responsible for:<br>• Deploying models into production environments<br>• Ensuring models are secure, scalable, and available 24/7<br>• Integrating model results into applications and dashboards<br>• Making predictive insights accessible across the company"	key-point role priority-1
"Why do companies need predictive analytics?"	"<b>答案</b>: Predictive analytics helps companies:<br>• Anticipate future trends and changes<br>• Prepare for challenges before they occur<br>• Identify new opportunities<br>• Stay ahead of competition<br>• Make proactive rather than reactive decisions"	key-point business priority-2
"What challenges arise from manual data extraction?"	"<b>答案</b>: Manual extraction creates several problems:<br>• Time-consuming — requests take hours or days<br>• Error-prone — humans make mistakes<br>• Doesn't scale — can't handle big data<br>• System failures — manual processes may crash<br>• Resource waste — analysts spend time on routine tasks"	key-point challenge priority-2
"Data Analyst Role"	"<b>角色</b>: Data Analyst<br><b>职责</b>: Answer business questions using data<br><b>工作流程</b>:<br>1. Collect data from sources<br>2. Clean and structure data<br>3. Analyze for insights<br>4. Create visualizations<br>5. Present findings<br><b>核心技能</b>: SQL, Excel, Power BI/Tableau, Communication"	key-point role-summary priority-1
"Data Architect Role"	"<b>角色</b>: Data Architect<br><b>职责</b>: Design scalable data system architecture<br><b>工作内容</b>:<br>• Design blueprint like a building architect<br>• Organize data into layers<br>• Ensure system scalability<br><b>关键成果</b>: Medalis architecture with Bronze/Silver/Gold layers"	key-point role-summary priority-1
"Data Engineer Role"	"<b>角色</b>: Data Engineer<br><b>职责</b>: Build data pipelines and automation<br><b>工作内容</b>:<br>• Connect to multiple source systems<br>• Build automated pipelines<br>• Ensure fast data flow<br>• Support real-time processing<br><b>核心成果</b>: Automated data flow from sources to users"	key-point role-summary priority-1
"BI Developer Role"	"<b>角色</b>: BI Developer<br><b>职责</b>: Automate reports and create dashboards<br><b>工作内容</b>:<br>• Build server environments<br>• Create interactive dashboards<br>• Manage access control<br>• Ensure 24/7 availability<br><b>核心成果</b>: Self-service analytics for stakeholders"	key-point role-summary priority-1
"Data Scientist Role"	"<b>角色</b>: Data Scientist<br><b>职责</b>: Build predictive models for future insights<br><b>工作内容</b>:<br>• Analyze historical patterns<br>• Build and train models<br>• Run experiments<br>• Make predictions<br><b>核心价值</b>: Enable proactive, forward-looking decisions"	key-point role-summary priority-1
"ML Engineer Role"	"<b>角色</b>: ML Engineer<br><b>职责</b>: Deploy ML models to production<br><b>工作内容</b>:<br>• Prepare deployment environments<br>• Deploy models to production<br>• Ensure security and scalability<br>• Integrate with applications<br><b>核心价值</b>: Make predictions accessible company-wide"	key-point role-summary priority-1
