Type,Question,Answer,Hint
True/False,"Young Joe saved Sid by killing his older self.","True - He shot himself","Ending spoiler"
True/False,"Older Joe wanted to kill Sid to save his wife.","True","Motivation"
True/False,"Sarah was Sid's father.","False - She was his mother","Character detail"
True/False,"All loopers eventually had to close their loops.","True - It was required by the organization","Story rule"
Short Answer,"Why did criminal organizations send people back in time to be killed?","Because tracking technology in the future was too advanced to commit crimes without being caught","Plot explanation"
Short Answer,"What was ""closing the loop"" and why was it necessary?","Killing one's future self to eliminate witnesses; necessary because former loopers could become police witnesses","Story concept"
Short Answer,"Why did Seth fail to close his loop?","His older self sang and told stories, making him feel sympathy and lose concentration","Plot detail"
Short Answer,"What happened when the organization tortured young Seth?","His older self began losing body parts (fingers, nose, legs) as they were affected","Plot detail"
Short Answer,"Why did older Joe travel back to 2044?","To kill the Rain Maker as a child and prevent his wife's death","Motivation"
Short Answer,"Who was the Rain Maker and what were his abilities?","Sid - a boy with extremely powerful telekinetic abilities","Character detail"
Short Answer,"Why did young Joe decide to help Sarah and Sid?","He realized Sid was dangerous but didn't have the heart to kill a child; later understood older Joe was creating the monster","Character arc"
Short Answer,"How did young Joe breaking the loop save the future?","By killing himself, he made older Joe vanish, preventing the attack that would traumatize Sid into becoming the Rain Maker","Theme explanation"
Short Answer,"What percentage of people in 2044 had telekinetic abilities?","10% of the population","World-building detail"
Short Answer,"Why was it nearly impossible to commit crimes in 2074?","Tracking technology was so advanced that even the smallest evidence could be easily discovered","World-building detail"
Sentence Rewrite,"Rewrite using ""cease"": The older Joe stopped existing when young Joe died.","The older Joe ceased to exist when young Joe died.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""vanish"": The victims disappeared forever without the government finding the bodies.","The victims vanished forever without the government finding the bodies.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""dispose of"": The criminals needed to get rid of the bodies.","The criminals needed to dispose of the bodies.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""track down"": The organization found all the retired loopers.","The organization tracked down all the retired loopers.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""side with"": Young Joe decided to support the organization.","Young Joe decided to side with the organization.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""hunt down"": The Rain Maker was searching for every retired looper.","The Rain Maker was hunting down every retired looper.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""calm down"": Sarah managed to make her son's anger go away.","Sarah managed to calm her son's anger down.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""figure out"": Joe finally understood the truth about the Rain Maker.","Joe finally figured out the truth about the Rain Maker.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""come up with"": Abe invented a clever idea.","Abe came up with a clever idea.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""look after"": Sarah took care of her son.","Sarah looked after her son.","Vocabulary application"
Discussion,"Why do you think the loopers agreed to close their loops knowing they would eventually be killed?","Open-ended: Discuss the allure of wealth (gold bars), belief that they could change their fate, reckless lifestyle, or lack of other options","Critical thinking"
Discussion,"Do you think young Joe made the right decision at the end? Why or why not?","Open-ended: Discuss sacrifice, breaking cycles, moral responsibility, selflessness vs. self-preservation","Critical thinking"
Discussion,"How does the story explore the theme of ""fate vs. free will""?","Open-ended: Discuss predetermined destiny, ability to change the future, cause and effect across time","Thematic analysis"
Discussion,"What role does trauma play in creating the Rain Maker?","Open-ended: Discuss how older Joe's attack would traumatize Sid, cycle of violence, nature vs. nurture","Psychological analysis"
Discussion,"If you were in Joe's position, would you close your loop for the gold? Why?","Open-ended: Personal ethics discussion, wealth vs. morality","Ethics discussion"
Discussion,"How does the concept of time travel in this story compare to other time travel stories you know?","Open-ended: Compare to other films/stories, unique rules, causality","Comparative analysis"
Discussion,"What do you think happened to Sid and Sarah after the story ended?","Open-ended: Speculation on their future, whether Sid avoided becoming the Rain Maker","Creative prediction"
Discussion,"Is the older Joe a villain or a victim? Explain your answer.","Open-ended: Discuss his motivations, actions, moral complexity","Character analysis"
Discussion,"How does the story comment on revenge and its consequences?","Open-ended: Discuss cycle of violence, breaking patterns, moral choices","Thematic discussion"
Discussion,"What does the story suggest about the relationship between our past, present, and future selves?","Open-ended: Identity, responsibility, self-awareness, interconnectedness","Philosophical discussion"
