#separator:tab
#html:true
#tags:true

Front	Back	Tags
"witnessed"	"<b>IPA</b>: /ˈwɪtnəst/<br><b>Definition</b>: to see an event take place<br><b>POS</b>: v<br><b>Collocation</b>: witnessed an event, witnessed the crime, eyewitness<br><b>Synonyms</b>: observed, saw, viewed, watched<br><b>Example</b>: Henry had witnessed countless deaths in his life.<br><b>IELTS Score</b>: 7.0"	"vocabulary verb priority-1"
"capitalist"	"<b>IPA</b>: /ˈkæpɪtəlɪst/<br><b>Definition</b>: a person who invests in and owns business<br><b>POS</b>: n<br><b>Collocation</b>: capitalist system, capitalist economy, venture capitalist<br><b>Synonyms</b>: investor, entrepreneur, businessman, tycoon<br><b>Example</b>: This story began 200 years ago on a merchant ship.<br><b>IELTS Score</b>: 7.0"	"vocabulary economics priority-2"
"insisted"	"<b>IPA</b>: /ɪnˈsɪstɪd/<br><b>Definition</b>: to demand something forcefully<br><b>POS</b>: v<br><b>Collocation</b>: insisted on, insisted that, insisted upon<br><b>Synonyms</b>: demanded, maintained, asserted, pressed<br><b>Example</b>: The captain insisted that the old man had cholera.<br><b>IELTS Score</b>: 7.0"	"vocabulary verb priority-1"
"merchant"	"<b>IPA</b>: /ˈmɜːrtʃənt/<br><b>Definition</b>: a person who buys and sells goods<br><b>POS</b>: n<br><b>Collocation</b>: merchant ship, merchant marine, merchant bank<br><b>Synonyms</b>: trader, dealer, seller, vendor<br><b>Example</b>: This story began 200 years ago on a merchant ship.<br><b>IELTS Score</b>: 6.5"	"vocabulary profession priority-2"
"performance"	"<b>IPA</b>: /pərˈfɔːrməns/<br><b>Definition</b>: an act of presenting a play, concert, or other form of entertainment<br><b>POS</b>: n<br><b>Collocation</b>: give a performance, live performance, stage performance<br><b>Synonyms</b>: show, presentation, recital, concert<br><b>Example</b>: He also wished her a successful performance tonight.<br><b>IELTS Score</b>: 6.5"	"vocabulary art priority-2"
"immediately"	"<b>IPA</b>: /ɪˈmiːdiətli/<br><b>Definition</b>: at once; instantly<br><b>POS</b>: adv<br><b>Collocation</b>: immediately respond, immediately available, act immediately<br><b>Synonyms</b>: instantly, directly, promptly, straightaway<br><b>Example</b>: This made the girl immediately feel good about him.<br><b>IELTS Score</b>: 6.0"	"vocabulary adverb priority-3"
"curious"	"<b>IPA</b>: /ˈkjʊriəs/<br><b>Definition</b>: eager to know or learn something<br><b>POS</b>: adj<br><b>Collocation</b>: curious about, curious to know, curious mind<br><b>Synonyms</b>: inquisitive, interested, eager, inquiring<br><b>Example</b>: She was curious how he knew she was Russian.<br><b>IELTS Score</b>: 6.0"	"vocabulary emotion priority-3"
"successful"	"<b>IPA</b>: /səkˈsesfl/<br><b>Definition</b>: accomplishing an aim or purpose<br><b>POS</b>: adj<br><b>Collocation</b>: successful career, successful business, highly successful<br><b>Synonyms</b>: triumphant, prosperous, flourishing, effective<br><b>Example</b>: He also wished her a successful performance tonight.<br><b>IELTS Score</b>: 6.0"	"vocabulary achievement priority-3"
"delighted"	"<b>IPA</b>: /dɪˈlaɪtɪd/<br><b>Definition</b>: feeling great pleasure<br><b>POS</b>: adj<br><b>Collocation</b>: delighted with, delighted to, absolutely delighted<br><b>Synonyms</b>: pleased, happy, thrilled, elated<br><b>Example</b>: She was even more delighted after hearing that.<br><b>IELTS Score</b>: 7.0"	"vocabulary emotion priority-2"
"invitation"	"<b>IPA</b>: /ˌɪnvɪˈteɪʃən/<br><b>Definition</b>: a written or verbal request to attend<br><b>POS</b>: n<br><b>Collocation</b>: accept invitation, decline invitation, formal invitation<br><b>Synonyms</b>: request, summons, call, invite<br><b>Example</b>: He happily accepted the invitation but the next second the whole train became a disaster.<br><b>IELTS Score</b>: 6.5"	"vocabulary social priority-2"
"walk ashore"	"<b>Definition</b>: to come to land from water<br><b>Example</b>: The man walked ashore and came to a bustling park.<br><b>IELTS Application</b>: Movement verbs for narratives<br><b>IELTS Score</b>: 6.5"	"verb-phrase movement priority-2"
"used to"	"<b>Definition</b>: accustomed to; familiar with<br><b>Example</b>: He was used to it because he had experienced such things many times.<br><b>IELTS Application</b>: Expressing past habits and states<br><b>IELTS Score</b>: 6.0"	"verb-phrase grammar priority-3"
"search for"	"<b>Definition</b>: to look for something<br><b>Example</b>: He searched for the secret to his immortality.<br><b>IELTS Application</b>: Action verbs for academic writing<br><b>IELTS Score</b>: 6.0"	"verb-phrase action priority-3"
"came to"	"<b>Definition</b>: arrived at; reached<br><b>Example</b>: The man walked ashore and came to a bustling park.<br><b>IELTS Application</b>: Movement and arrival expressions<br><b>IELTS Score</b>: 6.0"	"verb-phrase movement priority-3"
"feel good about"	"<b>Definition</b>: to have positive feelings toward<br><b>Example</b>: This made the girl immediately feel good about him.<br><b>IELTS Application</b>: Emotion expressions for speaking<br><b>IELTS Score</b>: 6.5"	"verb-phrase emotion priority-2"
"invite someone to"	"<b>Definition</b>: to ask someone to attend<br><b>Example</b>: She enthusiastically invited him to watch her performance.<br><b>IELTS Application</b>: Social interaction verbs<br><b>IELTS Score</b>: 6.0"	"verb-phrase social priority-3"
"accept an invitation"	"<b>Definition</b>: to agree to attend<br><b>Example</b>: He happily accepted the invitation but the next second the whole train became a disaster.<br><b>IELTS Application</b>: Formal social expressions<br><b>IELTS Score</b>: 6.5"	"verb-phrase formal priority-2"
"witness death"	"<b>Definition</b>: to see someone die<br><b>Example</b>: Henry had witnessed countless deaths in his life.<br><b>IELTS Application</b>: Observation and perception verbs<br><b>IELTS Score</b>: 7.0"	"verb-phrase observation priority-1"
"insist that"	"<b>Definition</b>: to demand forcefully<br><b>Example</b>: The captain insisted that the old man had cholera.<br><b>IELTS Application</b>: Argumentation and persuasion<br><b>IELTS Score</b>: 7.0"	"verb-phrase argument priority-1"
"express feelings"	"<b>Definition</b>: to communicate emotions<br><b>Example</b>: The girl also died before he could express his feelings.<br><b>IELTS Application</b>: Emotion and communication<br><b>IELTS Score</b>: 6.5"	"verb-phrase emotion priority-2"
"glance at"	"<b>Definition</b>: to look briefly<br><b>Example</b>: He only glanced at her and greeted her in fluent Russian.<br><b>IELTS Application</b>: Visual perception verbs<br><b>IELTS Score</b>: 6.0"	"verb-phrase observation priority-3"
"die before"	"<b>Definition</b>: to pass away prior to something<br><b>Example</b>: The girl also died before he could express his feelings.<br><b>IELTS Application</b>: Temporal expressions<br><b>IELTS Score</b>: 6.5"	"verb-phrase temporal priority-2"
"travel around"	"<b>Definition</b>: to journey to various places<br><b>Example</b>: He traveled around the world and spoke countless languages.<br><b>IELTS Application</b>: Movement and exploration<br><b>IELTS Score</b>: 6.0"	"verb-phrase movement priority-3"
"speak a language"	"<b>Definition</b>: to communicate in a language<br><b>Example</b>: He traveled around the world and spoke countless languages.<br><b>IELTS Application</b>: Communication skills<br><b>IELTS Score</b>: 6.0"	"verb-phrase communication priority-3"
"lack something"	"<b>Definition</b>: to not have enough<br><b>Example</b>: The thing he did not lack the most was time.<br><b>IELTS Application</b>: Negation and absence<br><b>IELTS Score</b>: 6.5"	"verb-phrase negation priority-2"
"perform tonight"	"<b>Definition</b>: to give a performance<br><b>Example</b>: He also wished her a successful performance tonight.<br><b>IELTS Application</b>: Entertainment and arts<br><b>IELTS Score</b>: 6.0"	"verb-phrase art priority-3"
"notice that"	"<b>Definition</b>: to observe or perceive<br><b>Example</b>: Henry continued to say that he noticed that her fingers had marks far apart.<br><b>IELTS Application</b>: Observation and deduction<br><b>IELTS Score</b>: 6.5"	"verb-phrase cognition priority-2"
"hear that"	"<b>Definition</b>: to receive information<br><b>Example</b>: She was even more delighted after hearing that.<br><b>IELTS Application</b>: Information receipt<br><b>IELTS Score</b>: 6.0"	"verb-phrase communication priority-3"
"possess an ability"	"<b>Definition</b>: to have or own<br><b>Example</b>: The man named Henry was an old monster who lived for 200 years and possessed an immortal body.<br><b>IELTS Application</b>: Capability and possession<br><b>IELTS Score</b>: 7.0"	"verb-phrase ability priority-1"
"face gazes"	"<b>Definition</b>: to confront looks<br><b>Example</b>: Facing the gazes of the aunts and the police, he did not feel embarrassed at all.<br><b>IELTS Application</b>: Social pressure expressions<br><b>IELTS Score</b>: 6.5"	"verb-phrase social priority-2"
"did not feel... at all"	"<b>Definition</b>: emphasizing the absence of feeling<br><b>Example</b>: Facing the gazes of the aunts and the police, he did not feel embarrassed at all.<br><b>IELTS Application</b>: Emphasis in negative statements<br><b>IELTS Score</b>: 7.0"	"expression emphasis priority-1"
"the thing he did not lack the most was"	"<b>Definition</b>: emphatic structure for emphasis<br><b>Example</b>: The thing he did not lack the most was time.<br><b>IELTS Application</b>: Cleft sentences for emphasis<br><b>IELTS Score</b>: 7.5"	"expression grammar priority-1"
"facing the gazes of"	"<b>Definition</b>: confronting public attention<br><b>Example</b>: Facing the gazes of the aunts and the police, he did not feel embarrassed at all.<br><b>IELTS Application</b>: Descriptive narrative openers<br><b>IELTS Score</b>: 7.0"	"expression narrative priority-1"
"immediately feel good about"	"<b>Definition</b>: instant positive reaction<br><b>Example</b>: This made the girl immediately feel good about him.<br><b>IELTS Application</b>: Cause and effect expressions<br><b>IELTS Score</b>: 6.5"	"expression reaction priority-2"
"wished her a successful performance"	"<b>Definition</b>: formal well-wishing<br><b>Example</b>: He also wished her a successful performance tonight.<br><b>IELTS Application</b>: Social courtesy expressions<br><b>IELTS Score</b>: 7.0"	"expression social priority-1"
"after hearing that"	"<b>Definition</b>: temporal clause structure<br><b>Example</b>: She was even more delighted after hearing that.<br><b>IELTS Application</b>: Time clauses and sequencing<br><b>IELTS Score</b>: 6.0"	"expression temporal priority-3"
"the next second"	"<b>Definition</b>: immediate future/past<br><b>Example</b>: He happily accepted the invitation but the next second the whole train became a disaster.<br><b>IELTS Application</b>: Narrative pacing transitions<br><b>IELTS Score</b>: 6.5"	"expression transition priority-2"
"had witnessed countless deaths"	"<b>Definition</b>: past perfect with emphasis<br><b>Example</b>: Henry had witnessed countless deaths in his life.<br><b>IELTS Application</b>: Past perfect for background information<br><b>IELTS Score</b>: 7.5"	"expression grammar priority-1"
"supernatural power"	"<b>Definition</b>: ability beyond natural laws<br><b>Example</b>: He was an immortal with the supernatural power of unlimited resurrection.<br><b>IELTS Application</b>: Fantasy and science fiction vocabulary<br><b>IELTS Score</b>: 7.0"	"expression topic priority-1"
"unlimited resurrection"	"<b>Definition</b>: infinite ability to revive<br><b>Example</b>: He was an immortal with the supernatural power of unlimited resurrection.<br><b>IELTS Application</b>: Advanced descriptive vocabulary<br><b>IELTS Score</b>: 8.0"	"expression advanced priority-1"
"fluent Russian"	"<b>Definition</b>: proficient language ability<br><b>Example</b>: He only glanced at her and greeted her in fluent Russian.<br><b>IELTS Application</b>: Language proficiency descriptions<br><b>IELTS Score</b>: 6.5"	"expression language priority-2"
"half-eaten chocolate"	"<b>Definition</b>: compound adjective<br><b>Example</b>: Henry explained that there was chocolate on the corner of her mouth and that there was a half-eaten chocolate in her bag.<br><b>IELTS Application</b>: Compound adjective formation<br><b>IELTS Score</b>: 6.5"	"expression grammar priority-2"
"marks far apart"	"<b>Definition</b>: descriptive positioning<br><b>Example</b>: Henry continued to say that he noticed that her fingers had marks far apart, but there were no marks on her chin, so she must be a cello player.<br><b>IELTS Application</b>: Spatial descriptions<br><b>IELTS Score</b>: 6.0"	"expression description priority-3"
"explained that there was"	"<b>Definition</b>: reported speech structure<br><b>Example</b>: Henry explained that there was chocolate on the corner of her mouth.<br><b>IELTS Application</b>: Reported speech patterns<br><b>IELTS Score</b>: 6.0"	"expression grammar priority-3"
"enthusiastically invited him to"	"<b>Definition</b>: eager request<br><b>Example</b>: She enthusiastically invited him to watch her performance.<br><b>IELTS Application</b>: Social invitation expressions<br><b>IELTS Score</b>: 7.0"	"expression social priority-1"
"Henry is an immortal man who has lived for 200 years"	"<b>Explanation</b>: This is a key plot point: Henry is an immortal man who has lived for 200 years<br><b>IELTS Application</b>: Band 7.0 vocabulary for advanced writing and speaking tasks<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.0"	"key-point narrative priority-1"
"He possesses supernatural powers including unlimited resurrection"	"<b>Explanation</b>: This is a key plot point: he possesses supernatural powers including unlimited resurrection<br><b>IELTS Application</b>: Band 7.5+ vocabulary for achieving high scores in Writing Task 2 and Speaking Part 3<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.5"	"key-point fantasy priority-1"
"Henry speaks countless languages and has traveled worldwide"	"<b>Explanation</b>: This is a key plot point: Henry speaks countless languages and has traveled worldwide<br><b>IELTS Application</b>: Band 6.5 vocabulary for competent language use<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 6.5"	"key-point character priority-2"
"He can observe details like chocolate stains and finger marks"	"<b>Explanation</b>: This is a key plot point: he can observe details like chocolate stains and finger marks<br><b>IELTS Application</b>: Band 7.0 vocabulary for advanced writing and speaking tasks<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.0"	"key-point observation priority-1"
"Henry deduced the girl was a cello player from physical signs"	"<b>Explanation</b>: This is a key plot point: Henry deduced the girl was a cello player from physical signs<br><b>IELTS Application</b>: Band 7.5+ vocabulary for achieving high scores in Writing Task 2 and Speaking Part 3<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.5"	"key-point deduction priority-1"
"The tragedy occurred when a steel bar stabbed Henry on the train"	"<b>Explanation</b>: This is a key plot point: the tragedy occurred when a steel bar stabbed Henry on the train<br><b>IELTS Application</b>: Band 7.0 vocabulary for advanced writing and speaking tasks<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.0"	"key-point plot priority-1"
"Henry has witnessed countless deaths throughout his immortal life"	"<b>Explanation</b>: This is a key plot point: Henry has witnessed countless deaths throughout his immortal life<br><b>IELTS Application</b>: Band 7.0 vocabulary for advanced writing and speaking tasks<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 7.0"	"key-point theme priority-1"
"His story began 200 years ago on a merchant ship"	"<b>Explanation</b>: This is a key plot point: his story began 200 years ago on a merchant ship<br><b>IELTS Application</b>: Band 6.5 vocabulary for competent language use<br><b>Usage</b>: Use for describing stories and narratives<br><b>IELTS Score</b>: 6.5"	"key-point backstory priority-2"
